コンテンツ,動画のタイトル,動画公開時刻,長さ,エンゲージ ビュー,平均視聴時間,平均視聴率 (%),視聴を継続 (%),ユニーク視聴者数,視聴者あたりの平均視聴回数,新しい視聴者数,リピーター,視聴回数,総再生時間（単位: 時間）,チャンネル登録者,インプレッション数,インプレッションのクリック率 (%)
IT-NBq67nbo,今週の移籍のお話まとめ。売却は進む雰囲気が少しだけ。【マンチェスターユナイテッド】,"Aug 6, 2025",2807,1,0:46:46,99.99,,1,1,0,1,1,0.7797,0,7,0
MPlj1oVgWfE,【チャンピオンズリーグ】対ガラタサライ感想,"Oct 3, 2023",51,1,0:00:06,11.76,50,1,1,1,0,2,0.002,0,23,4.35
Ot00U0MwujQ,【モウリーニョ】スペシャルワン率いるユナイテッドは失敗だったのか？,"Jan 1, 2024",1456,1,0:03:50,15.83,,1,1,0,1,1,0.064,0,3,33.33
P4JpLw6ZBSc,アモリムに対する自信が・・・【マンチェスターユナイテッド】,"Sep 28, 2025",722,1,0:00:14,1.97,,1,1,1,0,1,0.0039,0,206,0.49
Q3lEyZqE3Xw,バレバは無さげですね残念。ただポジティブもございます。夏終盤に向けてギア上がってきてます【マンチェスターユナイテッド】,"Aug 16, 2025",2894,1,0:48:13,99.99,,1,1,0,1,1,0.8038,0,8,0
Qo9E7A5OYMc,エンベウモHWG、てなわけで期待をしゃべる #manchesterutd #サッカー,"Jul 18, 2025",68,1,0:00:18,26.97,100,1,1,1,0,1,0.0051,0,81,0
T5TqqNzgDi0,ラメンスは近そう。売却は進まない。そんな今週のまとめ【マンチェスターユナイテッド】,"Aug 23, 2025",3434,1,0:29:16,51.16,,1,1,0,1,1,0.488,0,19,0
UVv_6jogug8,ユナイテッド、どうやってヨロをサインしたん？#マンチェスターユナイテッド #サッカー #移籍 #レアルマドリード,"Jul 18, 2024",60,1,0:00:06,10.2,100,1,1,1,0,1,0.0017,0,40,2.5
XFFoThNr318,ブルーノ感謝投稿【マンチェスターユナイテッド】,"Mar 14, 2025",625,1,0:00:13,2.12,,1,1,,,1,0.0037,0,23,0
XN2iHdTeg-k,エンベウモは来た。次はジャクソンorシェシュコ、なんですか？・・・【マンチェスターユナイテッド】,"Jul 19, 2025",1814,1,0:30:13,99.95,,1,1,0,1,1,0.5037,0,7,0
YXmE7FUfJOw,パレス戦感想を少しだけ【マンチェスターユナイテッド】,,4316,1,0:00:07,0.18,,1,1,1,0,1,0.0022,0,0,
ZR4OjHlntyE,サンチョ達、ワンチャン残るんですか？いやですよ。【マンチェスターユナイテッド】,"Jul 26, 2025",2811,1,0:46:50,99.98,,1,1,0,1,1,0.7807,0,2,0
ejz9XMMe7k8,フラム戦。やっぱこうなりましたか。そしてブルーノどうしよ【マンチェスターユナイテッド】,"Aug 25, 2025",14899,1,0:00:00,0,,1,1,0,1,1,0,0,10,0
qEYms9Mvmcw,【プレミアリーグ第20節】マンチェスターユナイテッドvsノッティンガムフォレスト感想,"Dec 31, 2023",59,1,0:00:58,98.65,50,1,1,1,0,1,0.0162,0,24,0
svyxw6Ny0OQ,ユナイテッドvsブライトン感想 #サッカー #プレミアリーグ,"Sep 17, 2023",50,1,0:00:05,11.24,100,1,1,1,0,1,0.0016,0,12,8.33
xhWsFmI6KbI,今週の移籍のお話まとめ。エンベウモもラッシュフォードもサンチョも色々話が動いたね、主にここ数日で【マンチェスターユナイテッド】,"Jul 12, 2025",2994,1,0:49:53,99.99,,1,1,0,1,1,0.8316,0,2,0
z_n6a-SHMbo,チェルシー戦感想配信【プレミアリーグ】,"Sep 21, 2025",8581,1,0:00:00,0.01,,1,1,0,1,1,0.0002,0,27,0
Bd4Eoi3FDkc,お得なB級カマヴィンガ？ルシエン・アゴメ君 #manchesterutd #mufc #マンチェスターユナイテッド,"Aug 20, 2025",61,0,,,0,0,,,,1,0.0004,0,61,0
UpfDcP0wwLY,【ユナイテッド】ガルナチョ、最強計画,"Sep 22, 2023",50,0,,,0,0,,,,1,0.001,0,11,0
Vb-tVGsLhbM,25/26ユナイテッドがプレミア勝てるわけないじゃん、ムリムリ!（※ムリじゃなかった!?）,,11750,0,,,,0,,,,0,0,0,335,0
WHlbdehM_HY,マンチェスターユナイテッド期待のユース！#マンチェスターユナイテッド #プレミアリーグ #プレシーズン,"Jul 14, 2024",60,0,,,0,0,,,,1,0.0003,0,16,0
b-FXypAXNnc,メイヌーシャドー起用に対して #manchesterutd #サッカー,"Jul 15, 2025",56,0,,,0,0,,,,1,0.0002,0,62,0
buBvPFxU9wU,質問：イニエスタって戦術のことですか？ #サッカー #スペイン #バルセロナ,"Aug 3, 2024",32,0,,,0,0,,,,1,0.001,0,18,0
vz5DOCfAxds,【FAカップ】マンチェスターユナイテッドvsノッティンガムフォレスト感想,"Feb 29, 2024",56,0,,,0,0,,,,2,0.0013,0,22,0
 --LlK7yTGKI,ユナイテッドはカウンターをするべきなのか？,"Jan 4, 2024",60,,,,,0,,,,,,,14,0
 -Au_IdeMzVc,【マンチェスターユナイテッド】アマド優秀、カゼミロ&エリクセン＝地雷、アモリムデビュー戦感想,"Nov 26, 2024",486,,,,,0,,,,,,,4,0
 -Mz1CZXDe5M,マンチェスターユナイテッドってなんですか。わからないけどきっととてもおいしいんだと思います(),"Aug 28, 2025",22941,,,,,0,,,,,,,7,0
 -cNxz2LqAMc,【プレミアリーグ】結局ユナイテッド含むリーグ予想したった,"Aug 21, 2024",644,,,,,0,,,,,,,2,0
 -wcdcXMIHK8,喋る事リスト→補強はデラップとクーニャ。売却候補にはやはりガルナチョ。ダロト怪我きちぃな【マンチェスターユナイテッド】,"Apr 26, 2025",10648,,,,,0,,,,,,,4,0
0JdKoIQYcMo,プレミアリーグの審判がやばすぎる,"May 5, 2024",60,,,,,0,,,,,,,2,0
0Kjj1UHgFlE,ホイルンドの爆速使用例,"Jul 30, 2023",53,,,,,0,,,,,,,6,0
0hIzBP8e9xs,【マンチェスターユナイテッド】マヌエル・ウガルテ、Here We Go!,"Aug 27, 2024",639,,,,,0,,,,,,,4,0
0ivSdCh6BVk,ツイッターはずいぶんと荒れてますが俺はシェシュコ本格化で荒れてます【マンチェスターユナイテッド】,"Jul 30, 2025",18645,,,,,0,,,,,,,2,0
0q1sFP5Frjo,ホイルンドの致命的な点について,"Jul 16, 2023",48,,,,,0,,,,,,,5,0
1Mq69zzDGeA,【マンチェスターユナイテッド】アカデミー卒のWGガルナチョの現評価,"Dec 24, 2024",557,,,,,0,,,,,,,8,0
1_M0vwTG2A0,【プレミアリーグ】vsエヴァートン大勝利！,"Nov 27, 2023",541,,,,,0,,,,,,,2,0
1yLOrKm536M,オナナは売るのか。代わりはザイオンかエミマルかそれとも【マンチェスターユナイテッド】,"Jun 30, 2025",687,,,,,0,,,,,,,9,0
2wDXUoB9asg,【マンチェスターユナイテッド】オナナ、DF、カゼミロ等・・・ブレントフォード戦に向けて,"Oct 7, 2023",49,,,,,0,,,,,,,4,0
3RYybfQWd1k,ラッシュフォード不調？エースに求められる素質とは,"Dec 5, 2023",426,,,,,0,,,,,,,3,0
3jC5hPfa0c4,【翻訳】マンチェスターユナイテッド改革方法,"Dec 16, 2023",1426,,,,,0,,,,,,,2,0
3o4Uv_wCCHw,【マンチェスターユナイテッド】惨敗のリヴァプール戦感想,"Sep 2, 2024",688,,,,,0,,,,,,,2,0
41euFMtToqE,ラッシュフォード、もうオワコンなんか・・・,"Feb 4, 2024",846,,,,,0,,,,,,,2,0
4dC1M6rUWjs,ブレントフォード戦に向けてって回【マンチェスターユナイテッド】,"Sep 26, 2025",8115,,,,,0,,,,,,,42,0
4ralRYInRT0,【マンチェスターユナイテッド】リチャがいない間のユナイテッドのフォーメーションはコレ！,"Feb 10, 2024",448,,,,,0,,,,,,,2,0
5jo7mXPccmw,INEOS 25%買い取り完了！ラットクリフからのクリスマスプレゼント？ #マンチェスターユナイテッド #ineos #merrychristmas,"Dec 25, 2023",46,,,,,0,,,,,,,5,0
690msQiwtww,【切り抜き】オナナhere we go!　何が変わるん？,"Jul 17, 2023",328,,,,,0,,,,,,,1,0
6IABtMHtSqI,クーニャHWGとガルナチョの話。ガチ少しだけ【マンチェスターユナイテッド】,"May 27, 2025",10719,,,,,0,,,,,,,5,0
6P0xO_J9k7I,シェシュコ決まったね。俺は歯やべぇけど【マンチェスターユナイテッド】,"Aug 8, 2025",14818,,,,,0,,,,,,,6,0
6YcQcKSWmdo,マウントのユナイテッド起用法について,"Jul 3, 2023",516,,,,,0,,,,,,,3,0
7E6abpM3xmA,【マンチェスターユナイテッド】アモリム初のビッグ6戦、スタメン予想,"Dec 4, 2024",220,,,,,0,,,,,,,2,0
7L8GVyOfrqU,クーニャゲリラ。ワンチャン500人行ったら熱い。予定あるので1時間だけ。【マンチェスターユナイテッド】,"Apr 23, 2025",3890,,,,,0,,,,,,,3,0
7e6pBqltVSE,ストライカー問題。エキティケ、ギョケレシュ、オシムヘン。今日は時間制限なし【マンチェスターユナイテッド】,"Jun 19, 2025",12123,,,,,0,,,,,,,1,0
7hNNAii9yyk,【プレミアリーグ第19節】ユナイテッド大勝利！若手覚醒来たか,"Dec 26, 2023",524,,,,,0,,,,,,,2,0
7szGrp_mDsk,ManUTD移籍話について話す＋シーズン振り返り,"Jul 2, 2023",989,,,,,0,,,,,,,2,0
8-8V5Q-RHdQ,【マドリーの神童】アルダ・ギュレルデビュー！やはり天才か,"Jan 6, 2024",179,,,,,0,,,,,,,2,0
8RgEJhNGdLM,【マンチェスターユナイテッド】プレシーズンが終わりましたのでお話する,"Aug 9, 2024",686,,,,,0,,,,,,,4,0
8bZYsYUjzzw,【マンチェスターユナイテッド】ラッシュフォードのインタビューについて話したいんだ,"Mar 1, 2024",400,,,,,0,,,,,,,3,0
9GFlz6SPDqc,【マンチェスターユナイテッド】アモリムユナイテッドの売却＆補強,"Nov 19, 2024",534,,,,,0,,,,,,,6,0
9WhMSgZyo6M,【切り抜き】ラッシュフォード、またまた不調？,"Aug 12, 2023",798,,,,,0,,,,,,,2,0
9l3UM8yEN78,ホイルンドのユナイテッド移籍について,"Jul 5, 2023",621,,,,,0,,,,,,,2,0
9zm1Jld79ho,エヴァートン戦。前線取るのか中盤取るのか。そしてなんやあのアマドOGはｗ【マンチェスターユナイテッド・雑談】,"Aug 4, 2025",13754,,,,,0,,,,,,,5,0
